ts,step,endpoint,latency_ms,status,ok
1789194508.997,10,login,112.6,200,1
1789194508.998,10,login,106.8,200,1
1789194509.0,10,login,115.2,200,1
1789194509.003,10,health,5.8,200,1
1789194509.004,10,health,6.3,200,1
1789194509.018,10,health,17.3,200,1
1789194509.03,10,login,138.7,200,1
1789194509.03,10,login,143.7,200,1
1789194509.034,10,health,3.9,200,1
1789194509.035,10,health,4.3,200,1
1789194509.036,10,login,145.8,200,1
1789194509.044,10,health,8.1,200,1
1789194509.063,10,login,176.6,200,1
1789194509.079,10,health,16.1,200,1
1789194509.099,10,login,207.3,200,1
1789194509.104,10,health,5.1,200,1
1789194509.106,10,login,217.0,200,1
1789194509.117,10,login,229.6,200,1
1789194509.119,10,health,2.6,200,1
1789194509.126,10,health,20.1,200,1
1789194509.336,10,orders,318.0,200,1
1789194509.342,10,orders,338.5,200,1
1789194509.348,10,orders,344.0,200,1
1789194509.362,10,orders,327.7,200,1
1789194509.371,10,orders,337.0,200,1
1789194509.377,10,orders,332.7,200,1
1789194509.4,10,orders,321.3,200,1
1789194509.453,10,orders,326.6,200,1
1789194509.457,10,orders,352.5,200,1
1789194509.465,10,orders,345.9,200,1
1789194509.557,10,search,215.9,200,1
1789194509.563,10,search,215.0,200,1
1789194509.571,10,search,235.2,200,1
1789194509.576,10,search,206.2,200,1
1789194509.584,10,search,222.5,200,1
1789194509.592,10,search,192.7,200,1
1789194509.601,10,search,224.1,200,1
1789194509.613,10,login,56.0,200,1
1789194509.616,10,health,3.2,200,1
1789194509.618,10,login,54.6,200,1
1789194509.62,10,health,1.9,200,1
1789194509.624,10,login,53.4,200,1
1789194509.628,10,health,4.2,200,1
1789194509.634,10,search,181.8,200,1
1789194509.636,10,login,59.4,200,1
1789194509.638,10,search,181.1,200,1
1789194509.648,10,login,55.3,200,1
1789194509.649,10,search,184.4,200,1
1789194509.653,10,login,69.2,200,1
1789194509.656,10,health,2.1,200,1
1789194509.658,10,login,57.4,200,1
1789194509.66,10,health,24.2,200,1
1789194509.662,10,health,3.5,200,1
1789194509.676,10,health,28.3,200,1
1789194509.688,10,login,53.6,200,1
1789194509.692,10,health,3.2,200,1
1789194509.699,10,login,48.8,200,1
1789194509.702,10,health,3.2,200,1
1789194509.707,10,login,68.5,200,1
1789194509.721,10,health,13.8,200,1
1789194509.829,10,orders,211.6,200,1
1789194509.849,10,orders,228.4,200,1
1789194509.853,10,orders,224.3,200,1
1789194509.882,10,orders,221.7,200,1
1789194509.899,10,orders,242.8,200,1
1789194509.905,10,orders,242.5,200,1
1789194509.913,10,orders,236.3,200,1
1789194509.923,10,orders,232.4,200,1
1789194509.936,10,orders,233.8,200,1
1789194509.957,10,orders,235.9,200,1
1789194510.001,10,search,171.9,200,1
1789194510.011,10,search,158.0,200,1
1789194510.016,10,search,167.2,200,1
1789194510.034,10,search,151.6,200,1
1789194510.047,10,login,46.4,200,1
1789194510.05,10,health,2.4,200,1
1789194510.054,10,search,149.3,200,1
1789194510.057,10,login,45.9,200,1
1789194510.06,10,search,160.9,200,1
1789194510.063,10,search,150.1,200,1
1789194510.068,10,search,143.6,200,1
1789194510.073,10,search,136.7,200,1
1789194510.08,10,health,22.6,200,1
1789194510.087,10,login,71.0,200,1
1789194510.091,10,login,57.0,200,1
1789194510.093,10,health,2.1,200,1
1789194510.098,10,search,141.0,200,1
1789194510.111,10,health,23.2,200,1
1789194510.114,10,login,54.0,200,1
1789194510.116,10,health,2.0,200,1
1789194510.122,10,login,53.6,200,1
1789194510.123,10,health,2.0,200,1
1789194510.13,10,login,57.6,200,1
1789194510.132,10,health,2.8,200,1
1789194510.135,10,login,72.6,200,1
1789194510.138,10,login,83.3,200,1
1789194510.139,10,health,2.7,200,1
1789194510.141,10,health,2.8,200,1
1789194510.153,10,login,55.1,200,1
1789194510.172,10,health,18.8,200,1
1789194510.27,10,orders,220.9,200,1
1789194510.284,10,orders,204.5,200,1
1789194510.294,10,orders,201.1,200,1
1789194510.314,10,orders,198.4,200,1
1789194510.323,10,orders,212.9,200,1
1789194510.333,10,orders,210.0,200,1
1789194510.338,10,orders,197.9,200,1
1789194510.342,10,orders,210.1,200,1
1789194510.355,10,orders,216.8,200,1
1789194510.395,10,orders,223.8,200,1
1789194510.435,10,search,164.8,200,1
1789194510.447,10,search,162.6,200,1
1789194510.455,10,search,161.2,200,1
1789194510.469,10,search,154.6,200,1
1789194510.481,10,search,125.9,200,1
1789194510.484,10,login,49.4,200,1
1789194510.485,10,search,152.3,200,1
1789194510.486,10,health,2.6,200,1
1789194510.493,10,search,155.2,200,1
1789194510.494,10,search,151.3,200,1
1789194510.498,10,login,51.6,200,1
1789194510.501,10,health,2.3,200,1
1789194510.504,10,search,180.8,200,1
1789194510.509,10,login,53.5,200,1
1789194510.511,10,health,2.1,200,1
1789194510.518,10,login,48.4,200,1
1789194510.52,10,health,3.0,200,1
1789194510.533,10,login,51.9,200,1
1789194510.536,10,search,140.9,200,1
1789194510.537,10,login,51.5,200,1
1789194510.539,10,health,6.5,200,1
1789194510.545,10,login,50.8,200,1
1789194510.547,10,login,53.9,200,1
1789194510.548,10,health,2.5,200,1
1789194510.55,10,health,3.0,200,1
1789194510.56,10,health,23.1,200,1
1789194510.582,10,login,77.0,200,1
1789194510.608,10,login,71.1,200,1
1789194510.609,10,health,27.5,200,1
1789194510.612,10,health,3.9,200,1
1789194510.713,10,orders,225.5,200,1
1789194510.721,10,orders,220.2,200,1
1789194510.743,10,orders,222.4,200,1
1789194510.762,10,orders,250.1,200,1
1789194510.774,10,orders,223.0,200,1
1789194510.781,10,orders,241.4,200,1
1789194510.798,10,orders,237.6,200,1
1789194510.809,10,orders,261.3,200,1
1789194510.841,10,orders,232.1,200,1
1789194510.866,10,orders,254.8,200,1
1789194510.898,10,search,186.1,200,1
1789194510.903,10,search,182.3,200,1
1789194510.923,10,search,162.5,200,1
1789194510.925,10,search,182.6,200,1
1789194510.952,10,login,48.0,200,1
1789194510.954,10,health,2.4,200,1
1789194510.958,10,search,176.8,200,1
1789194510.961,10,search,163.1,200,1
1789194510.967,10,search,194.3,200,1
1789194510.974,10,search,164.6,200,1
1789194510.977,10,login,78.1,200,1
1789194510.981,10,login,55.6,200,1
1789194510.985,10,health,3.4,200,1
1789194510.992,10,login,67.8,200,1
1789194511.002,10,health,25.2,200,1
1789194511.01,10,search,169.7,200,1
1789194511.014,10,login,56.1,200,1
1789194511.018,10,health,26.0,200,1
1789194511.019,10,health,4.0,200,1
1789194511.031,10,search,164.0,200,1
1789194511.033,10,login,64.7,200,1
1789194511.036,10,health,2.9,200,1
1789194511.044,10,login,69.6,200,1
